"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.565344583E-1,1.269514465E1,-2.870613098E0,-4.912637329E1,5.082133086E1
7.665924582E-1,1.278860474E1,-3.010799408E0,-4.887921143E1,5.061413472E1
7.766514582E-1,1.278860474E1,-3.010799408E0,-4.887921143E1,5.061413472E1
7.867094583E-1,1.289216614E1,-3.158908844E0,-4.907467651E1,5.083808147E1
7.967684583E-1,1.273527527E1,-3.186283112E0,-4.843096924E1,5.017866496E1
8.068264583E-1,1.295774841E1,-3.181247711E0,-4.843402100E1,5.023821226E1
8.168854583E-1,1.330207825E1,-2.961406708E0,-4.827462769E1,5.016128879E1
8.269444583E-1,1.306311035E1,-3.005718231E0,-4.855426025E1,5.037058053E1
8.370024583E-1,1.285197449E1,-3.192756653E0,-4.828152466E1,5.006468383E1
8.470614583E-1,1.294319153E1,-3.149871826E0,-4.832550049E1,5.012785550E1
8.571194583E-1,1.282833862E1,-3.379207611E0,-4.840243530E1,5.018745918E1
8.671784583E-1,1.300935364E1,-3.259136200E0,-4.841223145E1,5.023553926E1
8.772364582E-1,1.304779053E1,-3.235233307E0,-4.809231567E1,4.993578275E1
8.872954582E-1,1.303837585E1,-3.188312531E0,-4.884793091E1,5.065851296E1
8.973534583E-1,1.329750061E1,-3.317020416E0,-4.865206909E1,5.054552378E1
9.074124583E-1,1.316094971E1,-3.367809296E0,-4.859695435E1,5.046005062E1
9.174704583E-1,1.344317627E1,-3.395122528E0,-4.882620239E1,5.075671271E1
9.275294583E-1,1.373204041E1,-3.351898193E0,-4.876547241E1,5.077278262E1
9.375874583E-1,1.341239929E1,-3.538974762E0,-4.871771240E1,5.065404524E1
9.476464583E-1,1.350285339E1,-3.730842590E0,-4.859405518E1,5.057300104E1
9.577054583E-1,1.319160461E1,-3.736122131E0,-4.847296143E1,5.037464670E1
9.677634583E-1,1.316990662E1,-3.579242706E0,-4.846951294E1,5.035425606E1
9.778224583E-1,1.329101562E1,-3.530380249E0,-4.855484009E1,5.046471220E1
9.878804582E-1,1.333406067E1,-3.672966003E0,-4.825061035E1,5.019371726E1
9.979394582E-1,1.338658142E1,-3.505180359E0,-4.834838867E1,5.028969615E1
1.007997458E0,1.333236694E1,-3.550682068E0,-4.806375122E1,5.000483509E1
1.018056458E0,1.331912231E1,-3.714580536E0,-4.831781006E1,5.025741633E1
1.028114458E0,1.334368896E1,-3.749439240E0,-4.869491577E1,5.062911368E1
1.038173458E0,1.351158142E1,-3.662849426E0,-4.848193359E1,5.046263155E1
1.048231458E0,1.364062500E1,-3.764492035E0,-4.845764160E1,5.048149245E1
1.058290458E0,1.373175049E1,-4.047752380E0,-4.843716431E1,5.050845629E1
1.068349458E0,1.370864868E1,-4.061523438E0,-4.842984009E1,5.049626157E1
1.078407458E0,1.370910645E1,-3.904670715E0,-4.838305664E1,5.043913384E1
1.088466458E0,1.390582275E1,-3.963523865E0,-4.819522095E1,5.031759881E1
1.098524458E0,1.390841675E1,-3.686985016E0,-4.825418091E1,5.035378725E1
1.108583458E0,1.404080200E1,-3.809196472E0,-4.833062744E1,5.047280107E1
1.118641458E0,1.434819031E1,-3.655635834E0,-4.817770386E1,5.040164072E1
1.128700458E0,1.400755310E1,-3.777069092E0,-4.851119995E1,5.063412205E1
1.138758458E0,1.419209290E1,-3.625316620E0,-4.811361694E1,5.029392167E1
1.148817458E0,1.412380981E1,-3.542007446E0,-4.816293335E1,5.031596138E1
1.158875458E0,1.405403137E1,-3.479873657E0,-4.811221313E1,5.024351074E1
1.168934458E0,1.412504578E1,-3.579055786E0,-4.815881348E1,5.031498657E1
1.178993458E0,1.420042419E1,-3.548816681E0,-4.844989014E1,5.061262690E1
1.189051458E0,1.421008301E1,-3.676879883E0,-4.845761108E1,5.063186721E1
1.199110458E0,1.426736450E1,-3.650276184E0,-4.841970825E1,5.060978515E1
1.209168458E0,1.442726135E1,-3.672725677E0,-4.827896118E1,5.052220182E1
1.219231458E0,1.437522888E1,-3.839973450E0,-4.884963989E1,5.106544741E1
1.229289458E0,1.445974731E1,-3.958396912E0,-4.839770508E1,5.066646875E1
1.239348458E0,1.470196533E1,-3.621448517E0,-4.840722656E1,5.072003803E1
1.249406458E0,1.478869629E1,-3.644935608E0,-4.860540771E1,5.093600645E1
1.259465458E0,1.476515198E1,-3.615085602E0,-4.866442871E1,5.098338140E1
1.269523458E0,1.470466614E1,-3.537807465E0,-4.833563232E1,5.064658567E1
1.279582458E0,1.474967957E1,-3.506633759E0,-4.826623535E1,5.059129374E1
1.289641458E0,1.485061646E1,-3.762268066E0,-4.820584106E1,5.058160321E1
1.299699458E0,1.493400574E1,-3.833286285E0,-4.770507812E1,5.013474933E1
1.309758458E0,1.496237183E1,-3.564117432E0,-4.793325806E1,5.034056745E1
1.319816458E0,1.506925964E1,-3.671726227E0,-4.796197510E1,5.040749166E1
1.329875458E0,1.500022888E1,-3.670642853E0,-4.800488281E1,5.042766363E1
1.339933458E0,1.520574951E1,-3.525226593E0,-4.772976685E1,5.021725484E1
1.349992458E0,1.538528442E1,-3.625858307E0,-4.804586792E1,5.057923734E1
1.360050458E0,1.550588989E1,-3.469177246E0,-4.808514404E1,5.064236260E1
1.370109458E0,1.570152283E1,-3.422218323E0,-4.776208496E1,5.039311617E1
1.380167458E0,1.567901611E1,-3.558738708E0,-4.764263916E1,5.028237498E1
1.390226458E0,1.574313354E1,-3.470149994E0,-4.759219360E1,5.024843367E1
1.400285458E0,1.584394836E1,-3.467960358E0,-4.770162964E1,5.038355802E1
1.410343458E0,1.600241089E1,-3.627067566E0,-4.762933350E1,5.037644472E1
1.420402458E0,1.615013123E1,-3.653938293E0,-4.785562134E1,5.063929795E1
1.430460458E0,1.637841797E1,-3.835857391E0,-4.751712036E1,5.040677637E1
1.440519458E0,1.628312683E1,-3.356201172E0,-4.766165161E1,5.047808772E1
1.450577458E0,1.658401489E1,-3.404689789E0,-4.717510986E1,5.012097817E1
1.460636458E0,1.659161377E1,-3.234237671E0,-4.749749756E1,5.041581315E1
1.470694458E0,1.655406189E1,-3.184207916E0,-4.731359863E1,5.022701226E1
1.480753458E0,1.677113342E1,-3.137725830E0,-4.731854248E1,5.030070280E1
1.490812458E0,1.681146240E1,-3.321834564E0,-4.763522339E1,5.062385169E1
1.500870458E0,1.715609741E1,-3.465370178E0,-4.729129028E1,5.042624917E1
1.510929458E0,1.706510925E1,-3.483737946E0,-4.741619873E1,5.051386231E1
1.520987458E0,1.734608459E1,-3.564708710E0,-4.691320801E1,5.014422085E1
1.531046458E0,1.721343994E1,-3.319210052E0,-4.741049194E1,5.054774393E1
1.541104458E0,1.705084229E1,-3.464790344E0,-4.745889282E1,5.054782392E1
1.551163458E0,1.731393433E1,-3.484924316E0,-4.723785400E1,5.043145715E1
1.561221458E0,1.762435913E1,-3.381374359E0,-4.688824463E1,5.020517117E1
1.571280458E0,1.790017700E1,-3.620819092E0,-4.698602295E1,5.041044555E1
1.581338458E0,1.805699158E1,-3.502204895E0,-4.696081543E1,5.043449781E1
1.591397458E0,1.803518677E1,-3.693763733E0,-4.727969360E1,5.073737557E1
1.601456458E0,1.816357422E1,-3.879230499E0,-4.701354980E1,5.054935927E1
1.611514458E0,1.839099121E1,-3.863651276E0,-4.679470825E1,5.042718591E1
1.621573458E0,1.841883850E1,-4.080394745E0,-4.650064087E1,5.018179784E1
1.631631458E0,1.854466248E1,-3.925292969E0,-4.619549561E1,4.993331799E1
1.641690458E0,1.821679688E1,-4.101238251E0,-4.636581421E1,4.998460334E1
