"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.444245001E-1,1.451704407E1,-3.097526550E1,-4.173828125E1,5.396569061E1
6.544835001E-1,1.446014404E1,-3.107892227E1,-4.173886108E1,5.401044066E1
6.645425000E-1,1.433142090E1,-3.103293991E1,-4.188244629E1,5.406082030E1
6.746015000E-1,1.448715210E1,-3.100604630E1,-4.206405640E1,5.422764353E1
6.846605000E-1,1.416348267E1,-3.102766800E1,-4.181607056E1,5.396206241E1
6.947195000E-1,1.447842407E1,-3.083447266E1,-4.195672607E1,5.404402215E1
7.047785000E-1,1.443119812E1,-3.087887955E1,-4.182205200E1,5.395228183E1
7.148375000E-1,1.448587036E1,-3.097600555E1,-4.216494751E1,5.428845327E1
7.248965000E-1,1.455651855E1,-3.112545013E1,-4.216278076E1,5.439104669E1
7.349555000E-1,1.445959473E1,-3.110466003E1,-4.218395996E1,5.436971798E1
7.450145000E-1,1.462864685E1,-3.080441666E1,-4.207400513E1,5.415839087E1
7.550735001E-1,1.448756409E1,-3.081703186E1,-4.201547241E1,5.408214944E1
7.651315001E-1,1.445463562E1,-3.078026581E1,-4.214926147E1,5.415645388E1
7.751904167E-1,1.475611877E1,-3.067015076E1,-4.207751465E1,5.411948288E1
7.852494167E-1,1.482362366E1,-3.054349136E1,-4.187673950E1,5.391016596E1
7.953084167E-1,1.482177734E1,-3.050689697E1,-4.188168335E1,5.389277546E1
8.053674167E-1,1.457351685E1,-3.084973526E1,-4.220809937E1,5.427354062E1
8.154264167E-1,1.466531372E1,-3.070975494E1,-4.222024536E1,5.422830989E1
8.254854167E-1,1.452920532E1,-3.082653809E1,-4.241894531E1,5.441268399E1
8.355444167E-1,1.455929565E1,-3.077746964E1,-4.274285889E1,5.464593043E1
8.456034167E-1,1.470359802E1,-3.090671158E1,-4.225634766E1,5.437848410E1
8.556624167E-1,1.483532715E1,-3.100383759E1,-4.227389526E1,5.448309001E1
8.657214167E-1,1.479948425E1,-3.095152283E1,-4.209454346E1,5.430443894E1
8.757804168E-1,1.474131775E1,-3.103921127E1,-4.205764771E1,5.431008024E1
8.858394168E-1,1.514431763E1,-3.094555664E1,-4.207440186E1,5.438044799E1
8.958984168E-1,1.523300171E1,-3.116816711E1,-4.211703491E1,5.456504020E1
9.059564167E-1,1.533793640E1,-3.116095352E1,-4.167315674E1,5.424858809E1
9.160154167E-1,1.543263245E1,-3.128144073E1,-4.177838135E1,5.442543364E1
9.260744167E-1,1.553031921E1,-3.139097595E1,-4.153976440E1,5.433356433E1
9.361334167E-1,1.556582642E1,-3.167123413E1,-4.162924194E1,5.457431455E1
9.461924167E-1,1.560093689E1,-3.156592941E1,-4.093515015E1,5.399521876E1
9.562514167E-1,1.586383057E1,-3.169374847E1,-4.079754639E1,5.404252588E1
9.663104167E-1,1.610206604E1,-3.157195282E1,-4.074536133E1,5.400230741E1
9.763694167E-1,1.649839783E1,-3.186053467E1,-4.061087036E1,5.418979232E1
9.864284167E-1,1.656925964E1,-3.188509750E1,-4.062969971E1,5.423995120E1
9.964874167E-1,1.668449402E1,-3.183199310E1,-4.059713745E1,5.421969840E1
1.006546417E0,1.683111572E1,-3.197374344E1,-4.056042480E1,5.432085038E1
1.016605417E0,1.702600098E1,-3.182965088E1,-4.026943970E1,5.407993304E1
